date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:28:38	96/96	---M--	200	added ('OK')	image/png	etag:%2201dc5153239cd1:0%22	http://www.winsfordasc.co.uk/Resources/titlebarwhite1f.png	wascPublic/wasc/www.winsfordasc.co.uk/Resources/titlebarwhite1f.png	(from http://www.winsfordasc.co.uk/lessonsa.html)
06:28:38	10426/10426	---M--	200	added ('OK')	image/jpeg	etag:%22018f3a61313d01:0%22	http://www.winsfordasc.co.uk/Resources/younggirlswimmin.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/younggirlswimmin.jpg	(from http://www.winsfordasc.co.uk/lessonsa.html)
06:28:39	13133/13133	---M--	200	added ('OK')	image/jpeg	etag:%228057e5901313d01:0%22	http://www.winsfordasc.co.uk/Resources/rubberduckinpool.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/rubberduckinpool.jpg	(from http://www.winsfordasc.co.uk/lessonsa.html)
06:28:39	1206/1206	---M--	200	added ('OK')	image/png	etag:%228038db961313d01:0%22	http://www.winsfordasc.co.uk/Resources/titlebarwhite1a.png	wascPublic/wasc/www.winsfordasc.co.uk/Resources/titlebarwhite1a.png	(from http://www.winsfordasc.co.uk/shop.html)
06:28:39	1884/1884	---M--	200	added ('OK')	image/jpeg	etag:%220f253d4f773cd1:0%22	http://www.winsfordasc.co.uk/Resources/item3d1.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item3d1.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:39	1310/1310	---M--	200	added ('OK')	image/jpeg	etag:%220f253d4f773cd1:0%22	http://www.winsfordasc.co.uk/Resources/item3b1.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item3b1.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:40	1233/1233	---M--	200	added ('OK')	image/jpeg	etag:%220f253d4f773cd1:0%22	http://www.winsfordasc.co.uk/Resources/item3a3.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item3a3.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:40	31232/31232	---M--	200	added ('OK')	application/msword	etag:%2280ef9cb5eb5cd1:0%22	http://www.winsfordasc.co.uk/Resources/Shop%20Order%20Form.doc	wascPublic/wasc/www.winsfordasc.co.uk/Resources/Shop%20Order%20Form.doc	(from http://www.winsfordasc.co.uk/shop.html)
06:28:40	2660/2660	---M--	200	added ('OK')	image/jpeg	etag:%220d67b63139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item3d.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item3d.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:40	1669/1669	---M--	200	added ('OK')	image/jpeg	etag:%220d67b63139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item3c.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item3c.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:40	1717/1717	---M--	200	added ('OK')	image/jpeg	etag:%220d67b63139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item3b.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item3b.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:40	3023/3023	---M--	200	added ('OK')	image/jpeg	etag:%220d67b63139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item3a.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item3a.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:41	2553/2553	---M--	200	added ('OK')	image/jpeg	etag:%220d67b63139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item3a1.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item3a1.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:41	4369/4369	---M--	200	added ('OK')	image/jpeg	etag:%2280a3ffb63139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item3e.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item3e.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:41	2434/2434	---M--	200	added ('OK')	image/jpeg	etag:%228088ecd4f773cd1:0%22	http://www.winsfordasc.co.uk/Resources/item4a1.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item4a1.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:41	3632/3632	---M--	200	added ('OK')	image/jpeg	etag:%228088ecd4f773cd1:0%22	http://www.winsfordasc.co.uk/Resources/item5a1.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item5a1.jpg	(from http://www.winsfordasc.co.uk/shop.html)
06:28:42	1398/1398	---M--	200	added ('OK')	image/jpeg	etag:%228088ecd4f773cd1:0%22	http://www.winsfordasc.co.uk/Resources/item3h1.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item3h1.jpg	(from http://www.winsfordasc.co.uk/shop.html)
